userid,version,sum_gamerounds,retention_1,retention_7
116,gate_30,3,0,0
337,gate_30,38,1,0
377,gate_40,165,1,0
483,gate_40,1,0,0
488,gate_40,179,1,1
540,gate_40,187,1,1
1066,gate_30,0,0,0
1444,gate_40,2,0,0
1574,gate_40,108,1,1
1587,gate_40,153,1,0
1842,gate_40,3,0,1
2101,gate_30,0,0,0
2132,gate_40,30,1,0
2179,gate_30,39,1,0
2218,gate_30,305,1,1
2382,gate_30,73,1,0
2392,gate_30,14,1,0
2451,gate_30,204,1,1
2482,gate_30,108,1,1
2502,gate_40,1,0,0
2530,gate_40,9,1,0
2534,gate_30,5,1,0
2695,gate_40,45,1,0
2729,gate_30,105,0,1
2829,gate_30,4,0,0
2963,gate_30,3,0,0
3095,gate_30,0,0,0
3132,gate_40,80,1,1
3186,gate_40,4,0,0
3199,gate_30,5,0,0
3204,gate_40,53,1,1
3413,gate_30,37,1,0
3690,gate_30,13,1,0
3696,gate_30,50,0,0
3993,gate_40,202,1,1
4076,gate_40,0,0,0
4162,gate_30,23,0,0
4176,gate_30,0,0,0
4283,gate_30,103,0,0
4594,gate_30,27,0,0
4653,gate_40,15,0,0
4881,gate_30,0,0,0
4902,gate_40,1,0,0
4916,gate_40,49,1,0
4918,gate_30,7,0,0
4929,gate_30,386,1,1
4945,gate_40,25,1,0
5066,gate_30,1,0,0
5215,gate_30,13,1,0
5286,gate_30,12,1,0
5345,gate_40,6,0,0
5479,gate_30,25,1,0
5550,gate_30,29,1,0
5661,gate_30,136,1,0
5712,gate_30,105,1,1
5920,gate_40,10,1,0
5943,gate_40,76,0,0
6099,gate_40,138,0,0
6123,gate_30,0,0,0
6151,gate_30,94,1,1
6156,gate_40,1,0,0
6492,gate_30,0,0,0
6664,gate_40,26,1,0
6695,gate_40,127,1,0
6833,gate_40,6,0,0
6842,gate_40,4,0,0
6924,gate_30,21,0,0
6930,gate_40,297,1,1
7124,gate_40,108,1,1
7253,gate_30,45,1,0
7321,gate_40,33,0,0
7509,gate_40,0,0,0
7527,gate_30,80,0,0
7564,gate_30,21,0,0
7582,gate_40,3,0,0
7767,gate_30,139,1,1
7866,gate_30,14,0,0
8063,gate_30,50,1,0
8254,gate_40,14,0,0
8256,gate_40,14,0,0
8288,gate_30,9,0,0
8317,gate_40,3,0,0
8379,gate_30,0,0,0
8464,gate_30,10,0,0
8465,gate_40,4,0,0
8494,gate_30,5,1,0
8644,gate_30,2,0,0
8679,gate_30,0,0,0
8692,gate_30,3,1,0
8753,gate_40,10,1,0
8788,gate_30,19,0,1
8801,gate_40,0,0,0
8885,gate_40,5,0,0
9001,gate_40,16,1,0
9308,gate_40,95,1,0
9443,gate_40,3,0,0
9589,gate_30,8,0,0
9699,gate_40,8,0,0
9828,gate_40,1,0,0
9831,gate_40,3,0,0
9849,gate_40,1,0,0
10112,gate_30,6,0,0
10200,gate_40,106,0,1
10218,gate_30,22,1,0
10276,gate_40,1,0,0
10336,gate_30,11,0,0
10476,gate_40,4,0,0
10533,gate_40,21,0,0
10598,gate_40,8,0,0
10636,gate_30,246,1,1
10637,gate_40,0,0,0
10676,gate_40,6,0,0
10756,gate_30,16,0,0
10884,gate_40,49,1,0
11093,gate_40,54,1,1
11127,gate_30,66,1,1
11297,gate_30,0,0,0
11411,gate_30,122,1,1
11420,gate_30,75,1,0
11599,gate_30,3,0,0
11675,gate_40,17,0,0
11747,gate_30,1,1,0
11840,gate_30,24,0,0
11886,gate_30,3,0,0
12053,gate_30,11,1,0
12067,gate_40,7,0,0
12163,gate_30,47,1,0
12393,gate_40,1,0,0
12461,gate_40,4,0,0
12523,gate_30,31,1,0
12558,gate_30,13,0,0
12574,gate_30,22,1,0
12749,gate_30,6,1,0
12905,gate_40,1,0,0
12951,gate_40,2,0,0
12967,gate_30,24,1,0
12979,gate_30,6,0,0
13133,gate_40,6,0,0
13216,gate_30,24,1,0
13228,gate_40,9,0,0
13320,gate_40,34,0,0
13321,gate_40,56,0,0
13376,gate_40,12,1,0
13429,gate_30,60,0,1
13494,gate_40,10,1,0
13633,gate_30,67,0,0
13664,gate_30,42,1,1
13721,gate_40,65,1,0
13758,gate_30,1,0,0
13806,gate_30,4,0,0
13856,gate_30,3,0,0
13872,gate_30,1,0,0
13893,gate_40,14,0,0
13969,gate_40,42,0,0
14143,gate_30,13,0,0
14218,gate_30,129,0,1
14290,gate_40,6,1,0
14296,gate_30,37,0,0
14381,gate_40,9,0,0
14592,gate_30,1,0,0
14644,gate_40,2,0,0
14834,gate_30,27,0,0
15157,gate_40,38,0,0
15173,gate_30,8,0,0
15294,gate_30,51,1,1
15489,gate_30,5,0,0
15597,gate_40,2,0,0
15962,gate_30,0,0,0
15970,gate_40,16,1,0
16096,gate_40,0,0,0
16145,gate_40,7,0,0
16180,gate_30,5,0,0
16224,gate_40,0,0,0
16454,gate_40,11,0,0
16504,gate_40,0,0,0
16506,gate_30,4,1,0
16638,gate_40,51,1,0
16696,gate_40,5,0,0
17085,gate_40,33,0,0
17167,gate_30,21,0,0
17270,gate_30,49,1,0
17422,gate_40,2,0,0
17461,gate_30,1,0,0
17477,gate_30,46,1,1
17506,gate_40,127,1,1
17554,gate_30,1,0,0
17814,gate_30,14,0,0
17903,gate_40,17,0,0
17947,gate_30,104,1,1
17995,gate_30,6,0,0
18013,gate_40,21,1,0
18213,gate_40,36,1,0
18235,gate_30,8,0,0
18374,gate_40,53,1,0
18731,gate_30,1,0,0
18756,gate_30,38,1,1
18778,gate_30,13,0,0
18827,gate_30,20,1,0
18849,gate_40,74,1,1
18993,gate_40,25,1,0
19077,gate_30,11,0,0
19091,gate_40,1,0,0
19474,gate_40,2,0,0
19490,gate_30,72,1,0
19529,gate_40,22,0,0
19537,gate_40,2,0,0
19593,gate_40,18,0,0
19673,gate_40,4,0,0
19721,gate_40,18,0,0
19728,gate_40,79,1,1
19746,gate_30,65,0,1
19896,gate_40,13,1,0
19993,gate_30,5,1,0
20005,gate_30,4,0,0
20052,gate_30,8,0,0
20136,gate_30,0,0,0
20358,gate_40,19,0,1
20365,gate_40,6,0,0
20465,gate_30,108,1,0
20489,gate_40,2,0,0
20587,gate_40,26,0,0
20591,gate_40,2,1,0
20721,gate_40,99,0,1
20763,gate_30,10,0,0
20790,gate_40,5,1,0
20832,gate_30,13,1,0
20940,gate_40,1,0,0
21072,gate_40,16,0,0
21130,gate_40,1,0,0
21137,gate_40,91,1,0
21228,gate_40,149,1,1
21408,gate_30,20,1,0
21442,gate_40,68,1,0
21755,gate_40,12,0,1
22069,gate_40,7,0,0
22082,gate_40,3,0,0
22167,gate_40,277,1,1
22299,gate_40,493,1,1
22398,gate_30,4,0,0
22486,gate_40,3,0,0
22676,gate_40,8,0,0
22919,gate_40,1,0,0
22935,gate_30,274,1,1
22972,gate_30,17,0,0
23023,gate_40,32,0,1
23026,gate_40,1,0,0
23084,gate_40,85,1,1
23094,gate_40,12,0,0
23126,gate_40,1,0,0
23270,gate_30,8,0,0
23333,gate_30,9,0,0
23374,gate_30,8,1,0
23525,gate_40,191,1,1
23702,gate_40,115,1,0
23748,gate_40,45,1,0
24036,gate_40,15,0,0
24222,gate_30,134,1,1
24302,gate_40,19,1,0
24328,gate_30,2,0,0
24382,gate_30,22,1,0
24397,gate_30,6,0,0
24981,gate_40,18,0,0
25047,gate_30,0,0,0
25281,gate_30,0,0,0
25293,gate_40,12,0,0
25332,gate_30,152,1,1
25466,gate_40,2,0,0
25903,gate_30,8,1,0
25941,gate_40,73,1,0
25958,gate_30,0,0,0
26083,gate_30,100,1,1
26243,gate_40,250,1,1
26253,gate_30,10,0,0
26466,gate_40,13,1,0
26502,gate_30,147,1,1
26586,gate_30,391,1,0
27135,gate_30,18,0,0
27163,gate_40,23,0,0
27605,gate_30,19,1,0
27693,gate_30,4,0,0
27754,gate_30,14,0,0
27759,gate_30,61,1,1
27849,gate_40,61,1,0
27851,gate_40,75,1,0
27979,gate_30,75,0,0
28025,gate_30,57,1,0
28091,gate_30,35,1,0
28123,gate_30,9,0,0
28332,gate_30,13,0,0
28405,gate_30,1,0,0
28433,gate_30,20,0,0
28497,gate_40,77,1,1
29185,gate_40,3,0,0
29311,gate_40,7,0,0
29317,gate_40,6,0,0
29455,gate_30,51,1,1
29522,gate_40,197,0,1
29658,gate_30,2,0,0
29677,gate_40,22,0,0
29753,gate_40,69,1,0
29861,gate_40,4,0,0
29999,gate_30,260,1,1
30039,gate_40,20,0,0
30059,gate_30,4,0,0
30274,gate_30,7,1,0
30277,gate_30,0,0,0
30343,gate_30,8,1,1
30348,gate_30,48,1,1
30594,gate_40,15,1,0
30631,gate_30,61,0,1
30868,gate_30,1,0,0
30928,gate_30,12,1,0
31073,gate_30,270,1,1
31151,gate_30,59,0,0
31200,gate_30,141,1,0
31214,gate_30,53,0,1
31222,gate_40,20,0,0
31638,gate_40,16,0,0
31691,gate_30,0,0,0
31812,gate_30,37,1,0
31903,gate_30,467,1,1
32292,gate_40,25,0,0
32403,gate_40,2,1,0
32569,gate_40,4,0,0
32595,gate_40,11,1,0
32642,gate_30,40,0,0
32730,gate_30,9,0,0
32942,gate_40,11,1,1
33097,gate_30,12,0,0
33126,gate_30,6,0,0
33189,gate_40,9,1,0
33274,gate_40,4,0,0
33316,gate_40,18,1,0
33445,gate_30,77,0,1
33489,gate_30,4,0,0
33639,gate_40,45,1,0
33703,gate_40,43,1,0
33794,gate_30,3,0,0
33954,gate_40,30,1,0
33967,gate_30,33,1,1
34016,gate_40,47,1,0
34022,gate_40,72,0,1
34027,gate_40,16,0,0
34076,gate_40,2,0,0
34447,gate_40,93,1,1
34469,gate_30,222,1,1
34597,gate_40,334,1,1
34647,gate_40,8,0,0
34706,gate_30,29,1,0
34842,gate_40,27,1,0
34859,gate_30,16,0,0
34906,gate_30,10,1,0
34942,gate_40,8,0,0
35027,gate_40,58,1,0
35056,gate_30,84,1,0
35156,gate_30,1,0,0
35458,gate_40,56,0,0
35460,gate_30,43,1,0
35730,gate_30,50,1,0
35837,gate_30,23,1,0
35886,gate_30,5,0,0
35922,gate_30,21,1,0
36003,gate_30,48,1,0
36047,gate_40,85,1,1
36077,gate_30,13,1,0
36279,gate_30,41,1,0
36280,gate_30,5,0,0
36298,gate_40,1,0,0
36356,gate_30,303,1,1
36513,gate_40,18,1,0
36560,gate_40,48,1,0
36622,gate_30,4,1,0
36664,gate_40,51,0,1
36673,gate_30,5,0,0
36761,gate_40,134,1,1
36887,gate_40,11,1,0
